,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
10,DLUT1st0011,2019-01-16 16:09:24,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,178.0,70.0,12.0,2.0,2.0,0.1,0.95 ,1.0 ,0.1 ,22.4 ,15 ,0.00 ,24.9 ,0.6 ,23.7 ,15 ,0.00 ,24.9 ,1.1 ,24.8 ,15 ,0.00 ,24.9 ,NA,NA,NA,24.3 ,24.9 ,NA,-0.04,5.03,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
11,DLUT1st0012,2019-01-16 16:15:43,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Female,41-50,174.0,67.5,20.0,2.0,2.0,0.1,1.47 ,1.2 ,0.1 ,22.1 ,15 ,0.00 ,25.0 ,0.6 ,24.1 ,15 ,0.00 ,25.0 ,1.1 ,25.0 ,15 ,0.00 ,25.0 ,NA,NA,NA,24.4 ,25.0 ,NA,0.81,19.00,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
12,DLUT1st0013,2019-01-16 16:19:30,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,17.6¡Á15.3,NA,Male,31-40,180.0,90.0,8.0,1.0,2.0,0.1,1.17 ,1.0 ,0.1 ,22.5 ,15 ,0.00 ,24.8 ,0.6 ,23.8 ,15 ,0.00 ,24.8 ,1.1 ,24.7 ,15 ,0.00 ,24.8 ,NA,NA,NA,24.3 ,24.8 ,NA,0.24,6.22,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
13,DLUT1st0014,2019-01-16 16:36:54,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Male,31-40,174.0,73.0,10.0,1.0,2.0,1.0,1.37 ,0.9 ,0.1 ,24.3 ,19 ,0.00 ,25.5 ,0.6 ,24.9 ,19 ,0.00 ,25.5 ,1.1 ,25.4 ,19 ,0.00 ,25.5 ,NA,NA,NA,25.2 ,25.5 ,NA,0.34,7.49,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
14,DLUT1st0015,2019-01-16 16:42:10,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Female,31-40,163.0,62.5,5.0,1.0,2.0,0.1,0.57 ,1.0 ,0.1 ,24.2 ,20 ,0.00 ,25.9 ,0.6 ,25.1 ,20 ,0.00 ,25.9 ,1.1 ,25.7 ,20 ,0.00 ,25.9 ,NA,NA,NA,25.5 ,25.9 ,NA,-0.30,6.83,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
15,DLUT1st0016,2019-01-16 16:50:03,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Female,41-50,160.0,55.0,25.0,3.0,3.0,-0.1,0.53 ,1.0 ,0.1 ,24.6 ,19 ,0.00 ,25.9 ,0.6 ,24.9 ,19 ,0.00 ,25.9 ,1.1 ,25.7 ,19 ,0.00 ,25.9 ,NA,NA,NA,25.5 ,25.9 ,NA,-0.39,8.11,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
16,DLUT1st0017,2019-01-16 16:57:30,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Male,31-40,170.0,70.0,6.0,3.0,2.0,1.0,1.00 ,1.2 ,0.1 ,24.1 ,20 ,0.00 ,25.8 ,0.6 ,24.7 ,20 ,0.00 ,25.8 ,1.1 ,25.7 ,20 ,0.00 ,25.8 ,NA,NA,NA,25.3 ,25.8 ,NA,0.65,13.95,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
17,DLUT1st0018,2019-01-16 17:05:00,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Male,31-40,172.0,70.0,10.0,2.0,1.0,1.0,1.44 ,1.0 ,0.1 ,24.3 ,19 ,0.00 ,25.7 ,0.6 ,25.0 ,19 ,0.01 ,25.7 ,1.1 ,25.7 ,19 ,0.00 ,25.7 ,NA,NA,NA,25.4 ,25.9 ,NA,0.80,18.56,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
18,DLUT1st0019,2019-01-16 17:09:17,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Male,41-50,190.0,95.0,15.0,-1.0,2.0,0.1,1.67 ,1.0 ,0.1 ,24.3 ,20 ,0.00 ,25.8 ,0.6 ,24.7 ,20 ,0.00 ,25.8 ,1.1 ,25.6 ,20 ,0.00 ,25.8 ,NA,NA,NA,25.3 ,25.8 ,NA,0.94,23.70,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
19,DLUT1st0020,2019-01-16 17:11:52,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,14,Convection heating,23.1¡Á6.1,NA,Male,31-40,173.0,70.0,36.0,1.0,1.0,1.0,1.28 ,1.0 ,0.1 ,24.2 ,20 ,0.00 ,25.8 ,0.6 ,24.8 ,20 ,0.00 ,25.8 ,1.1 ,25.6 ,20 ,0.00 ,25.8 ,NA,NA,NA,25.3 ,25.8 ,NA,0.65,13.86,NA,-3.6,-2.0,-3.4,-3.1,NA,NA,
20,DLUT1st0021,2019-01-17 10:02:54,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Female,51-60,NA,NA,7.0,0.0,1.0,1.0,0.92 ,1.2 ,0.1 ,22.7 ,15 ,0.00 ,25.0 ,0.6 ,23.6 ,15 ,0.00 ,25.0 ,1.1 ,24.6 ,15 ,0.00 ,25.0 ,NA,NA,NA,24.3 ,25.0 ,NA,0.31,7.05,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
21,DLUT1st0022,2019-01-17 10:08:01,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,18-30,170.0,65.0,3.0,2.0,1.0,1.0,0.80 ,1.0 ,0.1 ,23.2 ,15 ,0.00 ,25.3 ,0.6 ,23.6 ,15 ,0.00 ,25.3 ,1.1 ,24.9 ,15 ,0.00 ,25.3 ,NA,NA,NA,24.6 ,25.3 ,NA,-0.20,5.82,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
22,DLUT1st0023,2019-01-17 10:13:03,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Female,31-40,158.0,47.0,7.0,0.0,1.0,1.0,1.66 ,1.0 ,0.1 ,22.4 ,15 ,0.00 ,24.9 ,0.6 ,24.2 ,15 ,0.01 ,24.9 ,1.1 ,25.2 ,15 ,0.01 ,24.9 ,NA,NA,NA,24.5 ,25.1 ,NA,0.74,16.56,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
23,DLUT1st0024,2019-01-17 10:18:31,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,41-50,170.0,70.0,5.0,1.0,2.0,0.1,0.98 ,1.0 ,0.1 ,22.4 ,15 ,0.00 ,24.9 ,0.6 ,23.5 ,15 ,0.00 ,24.9 ,1.1 ,25.3 ,15 ,0.00 ,24.9 ,NA,NA,NA,24.3 ,24.9 ,NA,0.01,5.00,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
24,DLUT1st0025,2019-01-17 10:23:48,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,31-40,180.0,55.0,7.0,1.0,1.0,0.1,1.46 ,1.0 ,0.1 ,23.8 ,14 ,0.00 ,25.7 ,0.6 ,24.3 ,14 ,0.00 ,25.7 ,1.1 ,25.5 ,14 ,0.00 ,25.7 ,NA,NA,NA,25.1 ,25.7 ,NA,0.70,15.29,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
25,DLUT1st0026,2019-01-17 10:29:14,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,18-30,175.0,80.0,10.0,1.0,1.0,1.0,1.99 ,1.0 ,0.1 ,23.4 ,14 ,0.00 ,25.8 ,0.6 ,24.7 ,14 ,0.00 ,25.8 ,1.1 ,25.8 ,14 ,0.00 ,25.8 ,NA,NA,NA,25.2 ,25.8 ,NA,1.05,28.63,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
26,DLUT1st0027,2019-01-17 10:35:16,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,31-40,175.0,70.0,7.0,0.0,1.0,1.0,1.13 ,1.2 ,0.1 ,23.5 ,14 ,0.00 ,26.0 ,0.6 ,24.0 ,14 ,0.00 ,26.0 ,1.1 ,25.8 ,14 ,0.00 ,26.0 ,NA,NA,NA,25.2 ,26.0 ,NA,0.69,15.18,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
27,DLUT1st0028,2019-01-17 10:39:44,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Male,41-50,173.0,80.0,6.0,0.0,1.0,1.0,1.16 ,1.0 ,0.1 ,24.1 ,14 ,0.00 ,26.2 ,0.6 ,24.6 ,14 ,0.00 ,26.2 ,1.1 ,25.8 ,14 ,0.00 ,26.2 ,NA,NA,NA,25.5 ,26.2 ,NA,0.52,10.66,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
28,DLUT1st0029,2019-01-17 10:44:55,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Female,41-50,160.0,53.0,7.0,0.0,1.0,1.0,1.00 ,1.0 ,0.1 ,23.7 ,14 ,0.00 ,26.1 ,0.6 ,24.6 ,14 ,0.00 ,26.1 ,1.1 ,25.6 ,14 ,0.00 ,26.1 ,NA,NA,NA,25.4 ,26.1 ,NA,0.31,7.05,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
29,DLUT1st0030,2019-01-17 10:48:50,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,25.0¡Á7.7,3.4,Female,31-40,158.0,70.0,16.0,2.0,1.0,1.0,0.93 ,1.0 ,0.1 ,23.7 ,14 ,0.01 ,26.1 ,0.6 ,24.6 ,14 ,0.00 ,26.1 ,1.1 ,25.6 ,14 ,0.00 ,26.1 ,NA,NA,NA,25.4 ,26.1 ,NA,0.22,6.05,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
30,DLUT1st0031,2019-01-17 11:01:37,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,41-50,162.0,60.0,6.0,1.0,1.0,1.0,1.02 ,0.9 ,0.1 ,23.2 ,15 ,0.00 ,25.6 ,0.6 ,24.1 ,15 ,0.00 ,25.6 ,1.1 ,25.3 ,15 ,0.00 ,25.6 ,NA,NA,NA,24.9 ,25.6 ,NA,-0.19,5.77,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
31,DLUT1st0032,2019-01-17 11:10:09,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,51-60,180.0,79.0,7.0,2.0,2.0,1.0,1.24 ,1.0 ,0.1 ,22.4 ,15 ,0.00 ,26.2 ,0.6 ,24.3 ,15 ,0.00 ,26.2 ,1.1 ,25.2 ,15 ,0.00 ,26.2 ,NA,NA,NA,25.1 ,26.2 ,NA,0.51,10.52,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
32,DLUT1st0033,2019-01-17 11:17:40,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,31-40,168.0,68.0,7.0,1.0,1.0,1.0,0.70 ,0.9 ,0.1 ,24.3 ,15 ,0.00 ,26.1 ,0.6 ,24.9 ,15 ,0.00 ,26.1 ,1.1 ,25.4 ,15 ,0.00 ,26.1 ,NA,NA,NA,25.5 ,26.1 ,NA,-0.55,11.29,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
33,DLUT1st0034,2019-01-17 13:41:33,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,18-30,166.0,55.0,1.0,1.0,1.0,1.0,0.75 ,1.0 ,0.1 ,25.3 ,13 ,0.00 ,26.4 ,0.6 ,25.4 ,13 ,0.00 ,26.4 ,1.1 ,26.1 ,13 ,0.00 ,26.4 ,NA,NA,NA,26.0 ,26.4 ,NA,0.14,5.43,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
34,DLUT1st0035,2019-01-17 13:47:23,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,£¾60,180.0,85.0,6.0,0.0,1.0,1.0,1.50 ,1.0 ,0.1 ,24.9 ,14 ,0.00 ,26.7 ,0.6 ,26.0 ,14 ,0.00 ,26.7 ,1.1 ,26.1 ,14 ,0.00 ,26.7 ,NA,NA,NA,26.2 ,26.7 ,NA,0.96,24.62,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
35,DLUT1st0037,2019-01-17 14:02:53,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,51-60,170.0,63.0,6.0,3.0,2.0,-0.1,1.29 ,1.0 ,0.1 ,25.4 ,13 ,0.00 ,26.8 ,0.6 ,25.8 ,13 ,0.00 ,26.8 ,1.1 ,26.2 ,13 ,0.00 ,26.8 ,NA,NA,NA,26.3 ,26.8 ,NA,0.82,19.31,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
36,DLUT1st0038,2019-01-17 14:05:05,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,18-30,161.0,47.0,8.0,0.0,1.0,1.0,0.98 ,0.9 ,0.1 ,23.0 ,14 ,0.00 ,25.9 ,0.6 ,23.8 ,14 ,0.00 ,25.9 ,1.1 ,24.9 ,14 ,0.00 ,25.9 ,NA,NA,NA,24.9 ,25.9 ,NA,-0.27,6.48,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
37,DLUT1st0039,2019-01-17 14:18:37,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,51-60,180.0,85.0,7.0,0.0,1.0,1.0,0.94 ,1.0 ,0.1 ,21.1 ,17 ,0.00 ,23.6 ,0.6 ,21.3 ,17 ,0.00 ,23.6 ,1.1 ,23.7 ,17 ,0.00 ,23.6 ,NA,NA,NA,22.7 ,23.6 ,NA,-0.47,9.58,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
38,DLUT1st0040,2019-01-17 14:30:54,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Male,41-50,172.0,85.0,8.0,0.0,1.0,1.0,1.01 ,1.0 ,0.1 ,22.1 ,16 ,0.00 ,24.7 ,0.6 ,23.7 ,16 ,0.00 ,24.7 ,1.1 ,23.7 ,16 ,0.00 ,24.7 ,NA,NA,NA,24.0 ,24.7 ,NA,-0.02,5.01,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
39,DLUT1st0041,2019-01-17 14:49:13,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,41-50,165.0,50.0,7.0,1.0,1.0,1.0,0.82 ,1.0 ,0.1 ,22.0 ,16 ,0.01 ,24.6 ,0.6 ,23.7 ,16 ,0.01 ,24.6 ,1.1 ,24.6 ,16 ,0.01 ,24.6 ,NA,NA,NA,24.2 ,24.8 ,NA,-0.27,6.51,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
40,DLUT1st0042,2019-01-17 14:55:58,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,18-30,162.0,51.0,7.0,1.0,2.0,-0.1,1.33 ,1.0 ,0.1 ,22.4 ,18 ,0.00 ,24.9 ,0.6 ,23.0 ,18 ,0.00 ,24.9 ,1.1 ,24.7 ,18 ,0.00 ,24.9 ,NA,NA,NA,24.1 ,24.9 ,NA,0.39,8.17,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
41,DLUT1st0043,2019-01-17 15:10:19,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,9,Convection heating,15.3¡Á15.1,3.4,Female,18-30,167.0,55.0,5.0,0.0,1.0,0.1,1.11 ,1.1 ,0.1 ,22.3 ,19 ,0.00 ,24.5 ,0.6 ,22.4 ,19 ,0.00 ,24.5 ,1.1 ,24.6 ,19 ,0.00 ,24.5 ,NA,NA,NA,23.7 ,24.5 ,NA,0.26,6.38,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
42,DLUT1st0044,2019-01-17 20:51:31,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,13,Radiant floor heating,8.7¡Á3.3,2.7,Male,18-30,181.0,75.0,5.0,0.0,1.0,1.0,1.17 ,1.0 ,0.1 ,24.7 ,29 ,0.00 ,25.3 ,0.6 ,24.7 ,29 ,0.00 ,25.3 ,1.1 ,24.5 ,29 ,0.00 ,25.3 ,NA,NA,NA,25.0 ,25.3 ,NA,0.53,10.97,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
43,DLUT1st0045,2019-01-17 21:01:25,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,13,Radiant floor heating,8.7¡Á3.3,2.7,Male,18-30,165.0,55.0,5.0,0.0,2.0,0.1,1.10 ,1.0 ,0.1 ,25.0 ,26 ,0.00 ,25.3 ,0.6 ,25.0 ,26 ,0.00 ,25.3 ,1.1 ,24.5 ,26 ,0.00 ,25.3 ,NA,NA,NA,25.1 ,25.3 ,NA,0.46,9.54,NA,-1.0,-2.0,-3.3,-3.2,NA,NA,
44,DLUT1st0046,2019-01-18 15:03:57,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,165.0,47.0,1.0,1.0,2.0,0.1,1.56 ,0.9 ,0.1 ,21.6 ,26 ,0.00 ,23.7 ,0.6 ,22.0 ,26 ,0.00 ,23.7 ,1.1 ,23.9 ,26 ,0.01 ,23.7 ,NA,NA,NA,23.0 ,23.7 ,NA,0.07,5.11,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
45,DLUT1st0047,2019-01-18 15:15:20,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,165.0,56.0,0.5,1.0,1.0,1.0,0.88 ,0.9 ,0.1 ,21.7 ,27 ,0.00 ,23.7 ,0.6 ,22.3 ,27 ,0.00 ,23.7 ,1.1 ,24.6 ,27 ,0.00 ,23.7 ,NA,NA,NA,23.2 ,23.7 ,NA,-0.85,20.34,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
46,DLUT1st0048,2019-01-18 15:22:10,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,167.0,52.0,1.0,0.0,1.0,1.0,1.54 ,1.0 ,0.1 ,22.4 ,26 ,0.00 ,24.3 ,0.6 ,22.4 ,26 ,0.00 ,24.3 ,1.1 ,24.9 ,26 ,0.00 ,24.3 ,NA,NA,NA,23.7 ,24.3 ,NA,0.56,11.54,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
