Season,City,Climate Zone,Building Type,Building Function,Floors,Building Operation Mode,Room Length x Width (m^2),Room Height (m),Sex,Age,Height (m),Weight (kg),Living Years,Clothing Insulation (clo),Metabolic Rate (met),Indoor Air Temperature (¡æ),Indoor Relative Humidity (%),Indoor Air Velocity (m/s),Globe Temperature (¡æ),Indoor Air Temperature 1 (¡æ),Indoor Relative Humidity 1 (%),Indoor Air Velocity 1 (m/s),Globe Temperature 1 (¡æ),Indoor Air Temperature 2 (¡æ),Indoor Relative Humidity 2 (%),Indoor Air Velocity 2 (m/s),Globe Temperature 2 (¡æ),Roof Temperature (¡æ),Wall Temperature (¡æ),Floor Temperature (¡æ),Operative Temperature (¡æ),Mean Radiant Temperature (¡æ),Radiant Temperature Asymmetry (¡æ),Real-Time Outdoor Temperature (¡æ),Mean Daily Outdoor Temperature (¡æ),Monthly Mean Outdoor Temperature (¡æ),7-Day Running Mean Outdoor Temperature (¡æ),15-Day Running Mean Outdoor Temperature (¡æ),Mean Daily Outdoor Relative Humidity (%),Mean Daily Outdoor Air Velocity (m/s)
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.5,54,0.95,,29.5,54,0.95,,29.5,54,0.95,29.5,,,,29.5,29.5,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.9,54,1.21,,29.9,54,1.21,,29.9,54,1.21,29.9,,,,29.9,29.9,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,54,1.71,,29.7,54,1.71,,29.7,54,1.71,29.7,,,,29.7,29.7,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,178.0,65.0,2.0,0.35,1.2,29.7,54,1.97,,29.7,54,1.97,,29.7,54,1.97,29.7,,,,29.7,29.7,,,24.0,22.2,19.4,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.0,53,0.01,,30.0,53,0.01,,30.0,53,0.01,30.0,,,,30.0,30.0,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.9,54,0.35,,29.9,54,0.35,,29.9,54,0.35,29.9,,,,29.9,29.9,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.8,54,0.6,,29.8,54,0.6,,29.8,54,0.6,29.8,,,,29.8,29.8,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.5,55,0.95,,29.5,55,0.95,,29.5,55,0.95,29.5,,,,29.5,29.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,29.5,54,1.21,,29.5,54,1.21,,29.5,54,1.21,29.5,,,,29.5,29.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.4,53,1.71,,30.4,53,1.71,,30.4,53,1.71,30.4,,,,30.4,30.4,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,182.0,55.0,4.0,0.63,1.2,30.2,53,1.97,,30.2,53,1.97,,30.2,53,1.97,30.2,,,,30.2,30.2,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.8,55,0.01,,29.8,55,0.01,,29.8,55,0.01,29.8,,,,29.8,29.8,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.0,53,0.35,,30.0,53,0.35,,30.0,53,0.35,30.0,,,,30.0,30.0,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.1,54,0.6,,30.1,54,0.6,,30.1,54,0.6,30.1,,,,30.1,30.1,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,30.2,53,0.95,,30.2,53,0.95,,30.2,53,0.95,30.2,,,,30.2,30.2,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.8,54,1.21,,29.8,54,1.21,,29.8,54,1.21,29.8,,,,29.8,29.8,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.5,55,1.71,,29.5,55,1.71,,29.5,55,1.71,29.5,,,,29.5,29.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,66.0,2.0,0.35,1.2,29.5,54,1.97,,29.5,54,1.97,,29.5,54,1.97,29.5,,,,29.5,29.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,29.8,53,0.01,,29.8,53,0.01,,29.8,53,0.01,29.8,,,,29.8,29.8,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.0,54,0.35,,30.0,54,0.35,,30.0,54,0.35,30.0,,,,30.0,30.0,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.2,54,0.6,,30.2,54,0.6,,30.2,54,0.6,30.2,,,,30.2,30.2,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.5,53,0.95,,30.5,53,0.95,,30.5,53,0.95,30.5,,,,30.5,30.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.4,53,1.21,,30.4,53,1.21,,30.4,53,1.21,30.4,,,,30.4,30.4,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.3,53,1.71,,30.3,53,1.71,,30.3,53,1.71,30.3,,,,30.3,30.3,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.6,52,1.97,,30.6,52,1.97,,30.6,52,1.97,30.6,,,,30.6,30.6,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,54,0.01,,30.1,54,0.01,,30.1,54,0.01,30.1,,,,30.1,30.1,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,53,0.35,,30.1,53,0.35,,30.1,53,0.35,30.1,,,,30.1,30.1,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.3,53,0.6,,30.3,53,0.6,,30.3,53,0.6,30.3,,,,30.3,30.3,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.5,52,0.95,,30.5,52,0.95,,30.5,52,0.95,30.5,,,,30.5,30.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.4,52,1.21,,30.4,52,1.21,,30.4,52,1.21,30.4,,,,30.4,30.4,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.5,52,1.71,,30.5,52,1.71,,30.5,52,1.71,30.5,,,,30.5,30.5,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,53,1.97,,30.1,53,1.97,,30.1,53,1.97,30.1,,,,30.1,30.1,,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.4,64,0.01,,29.4,64,0.01,,29.4,64,0.01,29.4,,,,29.4,29.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.5,65,0.35,,29.5,65,0.35,,29.5,65,0.35,29.5,,,,29.5,29.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.7,65,0.6,,29.7,65,0.6,,29.7,65,0.6,29.7,,,,29.7,29.7,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.8,66,0.95,,29.8,66,0.95,,29.8,66,0.95,29.8,,,,29.8,29.8,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.8,64,1.21,,29.8,64,1.21,,29.8,64,1.21,29.8,,,,29.8,29.8,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.4,65,1.71,,29.4,65,1.71,,29.4,65,1.71,29.4,,,,29.4,29.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.5,65,1.97,,29.5,65,1.97,,29.5,65,1.97,29.5,,,,29.5,29.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.4,64,0.01,,29.4,64,0.01,,29.4,64,0.01,29.4,,,,29.4,29.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.5,66,0.35,,29.5,66,0.35,,29.5,66,0.35,29.5,,,,29.5,29.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.0,65,0.6,,30.0,65,0.6,,30.0,65,0.6,30.0,,,,30.0,30.0,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.0,64,0.95,,30.0,64,0.95,,30.0,64,0.95,30.0,,,,30.0,30.0,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.1,64,1.21,,30.1,64,1.21,,30.1,64,1.21,30.1,,,,30.1,30.1,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.3,63,1.71,,30.3,63,1.71,,30.3,63,1.71,30.3,,,,30.3,30.3,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.4,66,1.97,,29.4,66,1.97,,29.4,66,1.97,29.4,,,,29.4,29.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.5,65,0.01,,29.5,65,0.01,,29.5,65,0.01,29.5,,,,29.5,29.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.6,66,0.35,,29.6,66,0.35,,29.6,66,0.35,29.6,,,,29.6,29.6,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.8,64,0.6,,29.8,64,0.6,,29.8,64,0.6,29.8,,,,29.8,29.8,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.8,64,0.95,,29.8,64,0.95,,29.8,64,0.95,29.8,,,,29.8,29.8,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,30.1,64,1.21,,30.1,64,1.21,,30.1,64,1.21,30.1,,,,30.1,30.1,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.6,64,1.71,,29.6,64,1.71,,29.6,64,1.71,29.6,,,,29.6,29.6,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.5,65,1.97,,29.5,65,1.97,,29.5,65,1.97,29.5,,,,29.5,29.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.6,65,0.01,,29.6,65,0.01,,29.6,65,0.01,29.6,,,,29.6,29.6,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.6,66,0.35,,29.6,66,0.35,,29.6,66,0.35,29.6,,,,29.6,29.6,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.7,64,0.6,,29.7,64,0.6,,29.7,64,0.6,29.7,,,,29.7,29.7,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,30.0,63,0.95,,30.0,63,0.95,,30.0,63,0.95,30.0,,,,30.0,30.0,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,30.2,67,1.21,,30.2,67,1.21,,30.2,67,1.21,30.2,,,,30.2,30.2,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.7,64,1.71,,29.7,64,1.71,,29.7,64,1.71,29.7,,,,29.7,29.7,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.4,65,1.97,,29.4,65,1.97,,29.4,65,1.97,29.4,,,,29.4,29.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,64,0.01,,30.1,64,0.01,,30.1,64,0.01,30.1,,,,30.1,30.1,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,63,0.35,,30.1,63,0.35,,30.1,63,0.35,30.1,,,,30.1,30.1,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.3,63,0.6,,30.3,63,0.6,,30.3,63,0.6,30.3,,,,30.3,30.3,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.5,62,0.95,,30.5,62,0.95,,30.5,62,0.95,30.5,,,,30.5,30.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.4,62,1.21,,30.4,62,1.21,,30.4,62,1.21,30.4,,,,30.4,30.4,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.5,62,1.71,,30.5,62,1.71,,30.5,62,1.71,30.5,,,,30.5,30.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,63,1.97,,30.1,63,1.97,,30.1,63,1.97,30.1,,,,30.1,30.1,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,29.8,63,0.01,,29.8,63,0.01,,29.8,63,0.01,29.8,,,,29.8,29.8,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,30.0,64,0.35,,30.0,64,0.35,,30.0,64,0.35,30.0,,,,30.0,30.0,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,30.2,64,0.6,,30.2,64,0.6,,30.2,64,0.6,30.2,,,,30.2,30.2,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,30.5,63,0.95,,30.5,63,0.95,,30.5,63,0.95,30.5,,,,30.5,30.5,,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,30.4,63,1.21,,30.4,63,1.21,,30.4,63,1.21,30.4,,,,30.4,30.4,,,23.3,22.2,17.1,21.4,,
