Season,City,Climate Zone,Building Type,Building Function,Floors,Building Operation Mode,Room Length x Width (m^2),Room Height (m),Sex,Age,Height (m),Weight (kg),Living Years,Clothing Insulation (clo),Metabolic Rate (met),Indoor Air Temperature (¡æ),Indoor Relative Humidity (%),Indoor Air Velocity (m/s),Globe Temperature (¡æ),Indoor Air Temperature 1 (¡æ),Indoor Relative Humidity 1 (%),Indoor Air Velocity 1 (m/s),Globe Temperature 1 (¡æ),Indoor Air Temperature 2 (¡æ),Indoor Relative Humidity 2 (%),Indoor Air Velocity 2 (m/s),Globe Temperature 2 (¡æ),Roof Temperature (¡æ),Wall Temperature (¡æ),Floor Temperature (¡æ),Operative Temperature (¡æ),Mean Radiant Temperature (¡æ),Radiant Temperature Asymmetry (¡æ),PMV,PPD,Real-Time Outdoor Temperature (¡æ),Mean Daily Outdoor Temperature (¡æ),Monthly Mean Outdoor Temperature (¡æ),7-Day Running Mean Outdoor Temperature (¡æ),15-Day Running Mean Outdoor Temperature (¡æ),Mean Daily Outdoor Relative Humidity (%),Mean Daily Outdoor Air Velocity (m/s)
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.0,54,0.35,,30.0,54,0.35,,30.0,54,0.35,30.0,,,,30.0,30.0,,1.3,40.68,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.2,54,0.6,,30.2,54,0.6,,30.2,54,0.6,30.2,,,,30.2,30.2,,1.25,37.91,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.5,53,0.95,,30.5,53,0.95,,30.5,53,0.95,30.5,,,,30.5,30.5,,1.27,38.81,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.4,53,1.21,,30.4,53,1.21,,30.4,53,1.21,30.4,,,,30.4,30.4,,1.15,33.17,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.3,53,1.71,,30.3,53,1.71,,30.3,53,1.71,30.3,,,,30.3,30.3,,1.01,26.73,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,176.0,67.0,1.0,0.4,1.2,30.6,52,1.97,,30.6,52,1.97,,30.6,52,1.97,30.6,,,,30.6,30.6,,1.13,32.0,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,54,0.01,,30.1,54,0.01,,30.1,54,0.01,30.1,,,,30.1,30.1,,1.66,59.71,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,53,0.35,,30.1,53,0.35,,30.1,53,0.35,30.1,,,,30.1,30.1,,1.32,41.57,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.3,53,0.6,,30.3,53,0.6,,30.3,53,0.6,30.3,,,,30.3,30.3,,1.27,38.86,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.5,52,0.95,,30.5,52,0.95,,30.5,52,0.95,30.5,,,,30.5,30.5,,1.24,37.58,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.4,52,1.21,,30.4,52,1.21,,30.4,52,1.21,30.4,,,,30.4,30.4,,1.13,32.1,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.5,52,1.71,,30.5,52,1.71,,30.5,52,1.71,30.5,,,,30.5,30.5,,1.09,30.24,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,169.0,57.0,18.0,0.39,1.2,30.1,53,1.97,,30.1,53,1.97,,30.1,53,1.97,30.1,,,,30.1,30.1,,0.84,20.01,,21.6,22.2,19.1,23.0,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.4,64,0.01,,29.4,64,0.01,,29.4,64,0.01,29.4,,,,29.4,29.4,,1.48,49.84,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.5,65,0.35,,29.5,65,0.35,,29.5,65,0.35,29.5,,,,29.5,29.5,,1.12,31.8,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.7,65,0.6,,29.7,65,0.6,,29.7,65,0.6,29.7,,,,29.7,29.7,,1.04,28.11,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.8,66,0.95,,29.8,66,0.95,,29.8,66,0.95,29.8,,,,29.8,29.8,,0.95,24.2,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.8,64,1.21,,29.8,64,1.21,,29.8,64,1.21,29.8,,,,29.8,29.8,,0.84,19.99,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.4,65,1.71,,29.4,65,1.71,,29.4,65,1.71,29.4,,,,29.4,29.4,,0.5,10.25,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,180.0,70.0,1.0,0.35,1.2,29.5,65,1.97,,29.5,65,1.97,,29.5,65,1.97,29.5,,,,29.5,29.5,,0.5,10.23,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.4,64,0.01,,29.4,64,0.01,,29.4,64,0.01,29.4,,,,29.4,29.4,,1.47,49.74,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.5,66,0.35,,29.5,66,0.35,,29.5,66,0.35,29.5,,,,29.5,29.5,,1.13,32.05,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.0,65,0.6,,30.0,65,0.6,,30.0,65,0.6,30.0,,,,30.0,30.0,,1.18,34.59,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.0,64,0.95,,30.0,64,0.95,,30.0,64,0.95,30.0,,,,30.0,30.0,,1.03,27.72,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.1,64,1.21,,30.1,64,1.21,,30.1,64,1.21,30.1,,,,30.1,30.1,,1.0,26.29,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,30.3,63,1.71,,30.3,63,1.71,,30.3,63,1.71,30.3,,,,30.3,30.3,,0.99,25.85,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,163.0,48.0,4.0,0.35,1.2,29.4,66,1.97,,29.4,66,1.97,,29.4,66,1.97,29.4,,,,29.4,29.4,,0.45,9.3,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.5,65,0.01,,29.5,65,0.01,,29.5,65,0.01,29.5,,,,29.5,29.5,,1.57,54.99,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.6,66,0.35,,29.6,66,0.35,,29.6,66,0.35,29.6,,,,29.6,29.6,,1.25,38.02,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.8,64,0.6,,29.8,64,0.6,,29.8,64,0.6,29.8,,,,29.8,29.8,,1.17,34.11,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.8,64,0.95,,29.8,64,0.95,,29.8,64,0.95,29.8,,,,29.8,29.8,,1.04,28.19,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,30.1,64,1.21,,30.1,64,1.21,,30.1,64,1.21,30.1,,,,30.1,30.1,,1.11,31.22,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.6,64,1.71,,29.6,64,1.71,,29.6,64,1.71,29.6,,,,29.6,29.6,,0.75,17.07,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,168.0,52.0,1.0,0.4,1.2,29.5,65,1.97,,29.5,65,1.97,,29.5,65,1.97,29.5,,,,29.5,29.5,,0.66,14.15,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.6,65,0.01,,29.6,65,0.01,,29.6,65,0.01,29.6,,,,29.6,29.6,,1.6,56.69,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.6,66,0.35,,29.6,66,0.35,,29.6,66,0.35,29.6,,,,29.6,29.6,,1.25,38.12,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.7,64,0.6,,29.7,64,0.6,,29.7,64,0.6,29.7,,,,29.7,29.7,,1.13,31.94,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,30.0,63,0.95,,30.0,63,0.95,,30.0,63,0.95,30.0,,,,30.0,30.0,,1.12,31.72,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,30.2,67,1.21,,30.2,67,1.21,,30.2,67,1.21,30.2,,,,30.2,30.2,,1.2,35.19,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.7,64,1.71,,29.7,64,1.71,,29.7,64,1.71,29.7,,,,29.7,29.7,,0.8,18.76,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,167.0,56.0,6.0,0.4,1.2,29.4,65,1.97,,29.4,65,1.97,,29.4,65,1.97,29.4,,,,29.4,29.4,,0.61,12.8,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,64,0.01,,30.1,64,0.01,,30.1,64,0.01,30.1,,,,30.1,30.1,,1.76,65.2,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,63,0.35,,30.1,63,0.35,,30.1,63,0.35,30.1,,,,30.1,30.1,,1.43,47.32,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.3,63,0.6,,30.3,63,0.6,,30.3,63,0.6,30.3,,,,30.3,30.3,,1.38,44.68,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.5,62,0.95,,30.5,62,0.95,,30.5,62,0.95,30.5,,,,30.5,30.5,,1.36,43.5,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.4,62,1.21,,30.4,62,1.21,,30.4,62,1.21,30.4,,,,30.4,30.4,,1.25,37.77,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.5,62,1.71,,30.5,62,1.71,,30.5,62,1.71,30.5,,,,30.5,30.5,,1.21,35.9,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Female,18-30,161.0,58.0,2.0,0.4,1.2,30.1,63,1.97,,30.1,63,1.97,,30.1,63,1.97,30.1,,,,30.1,30.1,,0.96,24.65,,23.3,22.2,17.1,21.4,,
Summer Season,"Liaoning Province, Dalian City",Severe cold zone,Office,Office,-1.0,Convection cooling,4.2¡Á5.0,3.6,Male,18-30,181.0,82.0,6.0,0.4,1.2,29.8,63,0.01,,29.8,63,0.01,,29.8,63,0.01,29.8,,,,29.8,29.8,,1.66,59.6,,23.3,22.2,17.1,21.4,,
